INSTITUTE NAME,PLACE,lat,lng,source
"KESHAV MEMORIAL INST OF
TECHNOLOGY",NARAYANAGUDA,17.3971519,78.49023439999999,google
"KHAMMAM INST OF
TECHNOLOGY AND SCIENCE",KHAMMAM,17.2472528,80.1514447,google
"KASIREDDY NARAYANAREDDY
COLL ENGG RES",HAYATHNAGAR,17.3164182,78.70727289999999,google
"KOMMURI PRATAP REDDY INST
OF TECHNOLOGY",GHATKESAR,17.4331809,78.68534679999999,google
KL R PHARMACY COLLEGE,PALVONCHA,17.5948758,80.7113305,google
"SRI KRUPA INSTITUTE OF
PHARMACEUTICAL SCIS",KONDAPAK,18.1124372,79.01929969999999,google
"KAMALA INSTITUTE OF
TECHNOLOGY AND SCIENCE",HUZURABAD,18.1124372,79.01929969999999,google
"K U COLLEGE OF ENGG
KOTHAGUDEM",KOTHAGUDEM,17.5809176,80.65764340000001,google
"K U COLLEGE OF ENGG
KOTHAGUDEM - SELF FINANCE",KOTHAGUDEM,17.5809176,80.65764340000001,google
"K U COLLEGE OF
PHARMACEUTICAL SCIENCES",WARANGAL,17.0944155,79.7750322,google
"UNIVERSITY COLLEGE OF ENGG
AND TECH FOR WOMEN KU
CAMPUS",WARANGAL,18.1124372,79.01929969999999,google
"KU COLLEGE OF ENGINEERING
AND TECHNOLOGY",WARANGAL,18.1124372,79.01929969999999,google
"KU COLLEGE OF ENGINEERING
AND TECHNOLOGY - SELF
FINANCE",WARANGAL,18.1124372,79.01929969999999,google
K V K COLLEGE OF PHARMACY,SURMAIGUDA,17.2918834,78.6910209,google
MAX INST OF PHARM SCI,KHAMMAM,18.1124372,79.01929969999999,google
"MADHIRA INSTITUTE OF
TECHNOLOGY AND SCI",KODAD,16.9181985,80.3633292,google
"MADIRA INST OF
TECHNOLOGYAND SCI",KODAD,16.9181985,80.3633292,google
"MATRUSRI ENGINEERING
COLLEGE",HYDERABAD,17.3579983,78.50780379999999,google
"METHODIST COLLEGE OF
ENGINEERING AND TECHNOLOGY
(AUTONOMOUS)",ABIDS,17.3917971,78.47855609999999,google
"MEGHA INST OF ENGG AND
TECHNOLOGY FOR WOMEN",GHATKESAR,18.1124372,79.01929969999999,google
"MAHATMA GANDHI INSTITUTE OF
TECHNOLOGY",GANDIPET,18.1124372,79.01929969999999,google
"MGU COLLEGE OF ENGINEERING
AND TECHNOLOGY",NALGONDA,18.1124372,79.01929969999999,google
"MAHAVEER INSTITUTE OF SCI
AND TECHNOLOGY",BANDLAGUDA,18.1124372,79.01929969999999,google
"MINA INST OF ENGG AND
TECHNOLOGY FOR WOMEN",MIRYALAGUDA,18.1124372,79.01929969999999,google
"MOHAMMADIYA INSTITUTE OF
PHARMACY",KHAMMAM,18.1124372,79.01929969999999,google
MOONRAY INST OF PHARM SCI,RAIKAL,18.1124372,79.01929969999999,google
M L R INSTITUTE OF TECHNOLOGY,DUNDIGAL,18.1124372,79.01929969999999,google
"MALLA REDDY COLLEGE OF ENGG
TECHNOLOGY (AUTONOMOUS)",MYSAMMAGUDA,17.5605725,78.456156,google
"MARRI LAXMAN REDDY
INSTITUTE OF PHARMACY",DUNDIGAL,17.5988597,78.41742049999999,google
"MARRI LAXMAN REDDY INST OF
TECHNOLOGY AND
MANAGEMENT (AUTONOMOUS)",DUNDIGAL,17.5988597,78.41742049999999,google
"MALLA REDDY INSTITUTE OF
TECHNOLOGY",MAISAMMAGUDA,18.1124372,79.01929969999999,google
M N R COLLEGE OF PHARMACY,SANGAREDDY,17.6209386,78.1223993,google
"MNRCOLLEGE OF ENGINEERING
AND TECHNOLOGY",SANGAREDDY,17.6182797,78.1236854,google
"MOTHER TERESA INSTITUTE OF
SCI AND TECHNOLOGY",SATHUPALLY,18.1124372,79.01929969999999,google
"MALLA REDDY COLLEGE OF
ENGINEERING",MYSAMMAGUDA,17.5589622,78.4510912,google
"MALLA REDDY COLLEGE OF
PHARMACY",MAISAMMAGUDA,17.5573695,78.4539707,google
"MALLA REDDY ENGG COLLEGE
FOR WOMEN (AUTONOMOUS)",MAISAMMAGUDA,17.5601893,78.44945129999999,google
"MALLAREDDY ENGINEERING
COLLEGE (AUTONOMOUS)",MAISAMMAGUDA,17.5589622,78.4510912,google
"MALLA REDDY ENGINEERING
COLLEGE AND MANAGEMENT
SCIENCES",MEDCHAL,17.632941,78.5059599,google
"MALLAREDDY INST OF ENGG AND
TECHNOLOGY (AUTONOMOUS)",MAISAMMAGUDA,18.1124372,79.01929969999999,google
"MALLA REDDY COLLEGE OF
ENGINEERING FOR WOMEN",MAISAMMAGUDA,17.5601893,78.44945129999999,google
"MALLAREDDY INST OF
TECHNOLOGY AND SCI",MAISAMMAGUDA,16.7902795,79.9597366,google
"ST MARTINS ENGINEERING
COLLEGE (AUTONOMOUS)",DHULAPALLY,17.5050133,78.3050693,google
"MOTHER THERESA COLLEGE OF
ENGG AND TECHNOLOGY",PEDDAPALLY,18.1124372,79.01929969999999,google
"M V S R ENGINEERING COLLEGE
(AUTONOMOUS)",NADERGUL,17.2817706,78.5378417,google
"NALANDA COLLEGE OF
PHARMACY",NALGONDA,17.104421,79.23811529999999,google
"NOBLE COLLEGE OF ENGG
TECHNOLOGY FOR WOMEN",NADERGUL,18.1124372,79.01929969999999,google
"NEIL GOGTE INST OF
TECHNOLOGY",KACHIVANI\r\nSINGARAM,17.3953296,78.62248579999999,google
NIGAMA ENGINEERING COLLEGE,KARIMNAGAR,18.4833268,79.2229945,google
"NETAJI INSTITUTE OF
ENGINEERING AND TECHNOLOGY",CHOUTUPPAL,18.1124372,79.01929969999999,google
"NALLA NARASIMHA REDDY EDNL
SOC GRP OF INSTNS
(AUTONOMOUS)",GHATKESAR,17.4021327,78.6530472,google
"NARSIMHAREDDY ENGINEERING
COLLEGE (AUTONOMOUS)",MAISAMMAGUDA,17.5626591,78.4561014,google
"NALLAMALLA REDDY
ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,17.4057818,78.62154129999999,google
"O U COLLEGE OF ENGG
HYDERABAD",HYDERABAD,17.4068029,78.5185352,google
"O U COLLEGE OF ENGG
HYDERABAD - SELF FINANCE",HYDERABAD,17.4068029,78.5185352,google
"O U COLLEGE OF TECH
HYDERABAD",HYDERABAD,17.4103832,78.5282695,google
"O U COLLEGE OF TECH
HYDERABAD - SELF FINANCE",HYDERABAD,17.4103832,78.5282695,google
PALLAVI ENGINEERING COLLEGE,KUNTLOOR,17.3497904,78.6090651,google
"PRINCETON INST OF ENGG TECH
FOR WOMEN",GHATKESAR,18.1124372,79.01929969999999,google
PALAMUR UNIVERSITY,MAHABUBNAGAR,16.7198437,77.98187539999999,google
"PRIYADARSHINI INSTITUTE OF
SCIENCE & TECHNOLOGY FOR
WOMEN",KHAMMAM,18.1124372,79.01929969999999,google
"PULLA REDDY INST OF
PHARMACY DINDIGUL",DUNDIGAL,18.1124372,79.01929969999999,google
