INST CODE,INSTITUTE NAME,PLACE,DIST,COED,COLLEGE TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
MVSR,"M V S R ENGINEERING COLLEGE
(AUTONOMOUS)",NADERGUL,RR,COED,PVT,1981,INF,INFORMATION TECHNOLOGY,10964.0,11895,31264.0,36438,18805.0,19986,10964.0,57575,15904.0,19680,24815.0,37952,46550.0,53011,28937.0,55235,11769.0,11895,125000,OU
MVSR,"M V S R ENGINEERING COLLEGE
(AUTONOMOUS)",NADERGUL,RR,COED,PVT,1981,MEC,MECHANICAL ENGINEERING,25044.0,103832,97489.0,105364,108199.0,108199,25044.0,103832,78020.0,103832,96291.0,112270,121453.0,121453,106958.0,120505,25044.0,103832,125000,OU
NCOP,"NALANDA COLLEGE OF
PHARMACY",NALGONDA,NLG,COED,PVT,1995,PHM,B. PHARMACY (M.P.C. STREAM),114700.0,114700,114700.0,114700,114700.0,114700,114700.0,114700,114700.0,114700,114700.0,114700,114700.0,114700,114700.0,114700,114700.0,114700,55000,JNTUH
NETW,"NOBLE COLLEGE OF ENGG
TECHNOLOGY FOR WOMEN",NADERGUL,RR,GIRLS,PVT,2008,CSE,"COMPUTER SCIENCE AND
ENGINEERING",,99063,,99063,,103582,,99063,,99063,,99063,,99063,,121284,,99063,40000,JNTUH
NGIT,"NEIL GOGTE INST OF
TECHNOLOGY","KACHIVANI
SINGARAM",MDL,COED,PVT,2018,CSE,"COMPUTER SCIENCE AND
ENGINEERING",12837.0,13027,42051.0,63764,16760.0,21499,64142.0,64142,18397.0,24784,47964.0,89171,82634.0,101502,53632.0,98234,13636.0,16576,70000,OU
NGIT,"NEIL GOGTE INST OF
TECHNOLOGY","KACHIVANI
SINGARAM",MDL,COED,PVT,2018,CSM,"COMPUTER SCIENCE AND
ENGINEERING (ARTIFICIAL
INTELLIGENCE AND MACHINE
LEARNING)",14332.0,14628,49681.0,77697,22532.0,29049,14332.0,92502,27558.0,27558,38992.0,107005,116231.0,116231,83273.0,84321,15166.0,16733,70000,OU
NGMA,NIGAMA ENGINEERING COLLEGE,KARIMNAGAR,KRM,COED,PVT,2008,CSE,"COMPUTER SCIENCE AND
ENGINEERING",118137.0,118137,118137.0,118137,118137.0,118137,118137.0,118137,118137.0,118137,118137.0,118137,118137.0,118137,118137.0,118137,118137.0,118137,47000,JNTUH
NIET,"NETAJI INSTITUTE OF
ENGINEERING AND TECHNOLOGY",CHOUTUPPAL,YBG,COED,PVT,2004,CIV,CIVIL ENGINEERING,84348.0,84348,84348.0,84348,84348.0,84348,84348.0,84348,84348.0,84348,84348.0,84348,84348.0,84348,84348.0,84348,84348.0,84348,42000,JNTUH
NIET,"NETAJI INSTITUTE OF
ENGINEERING AND TECHNOLOGY",CHOUTUPPAL,YBG,COED,PVT,2004,CSE,"COMPUTER SCIENCE AND
ENGINEERING",121222.0,121222,121222.0,121222,121222.0,121222,121222.0,121222,121222.0,121222,121222.0,121222,121222.0,121222,121222.0,121222,121222.0,121222,42000,JNTUH
NNRG,"NALLA NARASIMHA REDDY EDNL
SOC GRP OF INSTNS
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2009,CIV,CIVIL ENGINEERING,116689.0,116689,116689.0,116689,116689.0,116689,116689.0,116689,116689.0,116689,116689.0,116689,116689.0,116689,116689.0,116689,116689.0,116689,83000,JNTUH
NNRG,"NALLA NARASIMHA REDDY EDNL
SOC GRP OF INSTNS
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2009,CSD,"COMPUTER SCIENCE AND
ENGINEERING (DATA SCIENCE)",53388.0,53388,95892.0,95892,103188.0,110992,53388.0,53388,70405.0,79289,104677.0,114971,119443.0,119443,73548.0,83287,72512.0,72512,83000,JNTUH
NNRG,"NALLA NARASIMHA REDDY EDNL
SOC GRP OF INSTNS
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2009,CSE,"COMPUTER SCIENCE AND
ENGINEERING",40265.0,40265,80848.0,80848,60241.0,70549,65215.0,65215,58357.0,58357,62886.0,110225,106345.0,117661,77130.0,114101,49297.0,49297,83000,JNTUH
NNRG,"NALLA NARASIMHA REDDY EDNL
SOC GRP OF INSTNS
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2009,CSM,"COMPUTER SCIENCE AND
ENGINEERING (ARTIFICIAL
INTELLIGENCE AND MACHINE
LEARNING)",56141.0,56141,89299.0,89299,86925.0,89152,79297.0,79297,75830.0,92024,65784.0,65784,92373.0,92373,109207.0,109207,61568.0,61568,83000,JNTUH
NNRG,"NALLA NARASIMHA REDDY EDNL
SOC GRP OF INSTNS
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2009,ECE,"ELECTRONICS AND
COMMUNICATION ENGINEERING",83620.0,99163,99166.0,99166,97388.0,114693,88279.0,99163,111399.0,113915,110609.0,111880,120824.0,120957,117144.0,119642,105762.0,110824,83000,JNTUH
NNRG,"NALLA NARASIMHA REDDY EDNL
SOC GRP OF INSTNS
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2009,EEE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",110001.0,110001,110001.0,110001,110001.0,110001,110001.0,110001,110001.0,110001,110001.0,110001,110001.0,110001,110001.0,110001,110001.0,110001,83000,JNTUH
NNRG,"NALLA NARASIMHA REDDY EDNL
SOC GRP OF INSTNS
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2009,INF,INFORMATION TECHNOLOGY,46085.0,81652,102563.0,113149,90602.0,99964,92257.0,112194,96876.0,108558,107471.0,107471,121244.0,121244,101532.0,121267,74080.0,81652,83000,JNTUH
NNRG,"NALLA NARASIMHA REDDY EDNL
SOC GRP OF INSTNS
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2009,MEC,MECHANICAL ENGINEERING,115187.0,115187,115187.0,115187,115187.0,115187,115187.0,115187,115187.0,115187,115187.0,115187,115187.0,115187,115187.0,115187,115187.0,115187,83000,JNTUH
NRCM,"NARSIMHAREDDY ENGINEERING
COLLEGE (AUTONOMOUS)",MAISAMMAGUDA,MDL,COED,PVT,2007,CIV,CIVIL ENGINEERING,91712.0,91712,91712.0,91712,91712.0,91712,91712.0,91712,91712.0,91712,91712.0,91712,91712.0,91712,91712.0,91712,91712.0,91712,68000,JNTUH
NRCM,"NARSIMHAREDDY ENGINEERING
COLLEGE (AUTONOMOUS)",MAISAMMAGUDA,MDL,COED,PVT,2007,CSC,"COMPUTER SCIENCE AND
ENGINEERING (CYBER SECURITY)",59436.0,60949,87377.0,105050,108014.0,108014,64476.0,64476,64972.0,85754,91706.0,91706,121317.0,121317,116062.0,116062,59436.0,60949,68000,JNTUH
NRCM,"NARSIMHAREDDY ENGINEERING
COLLEGE (AUTONOMOUS)",MAISAMMAGUDA,MDL,COED,PVT,2007,CSD,"COMPUTER SCIENCE AND
ENGINEERING (DATA SCIENCE)",46600.0,63876,83713.0,102928,97975.0,101569,46600.0,63876,76421.0,82880,103393.0,103393,116698.0,116698,69518.0,81558,66016.0,75812,68000,JNTUH
NRCM,"NARSIMHAREDDY ENGINEERING
COLLEGE (AUTONOMOUS)",MAISAMMAGUDA,MDL,COED,PVT,2007,CSE,"COMPUTER SCIENCE AND
ENGINEERING",37394.0,40831,71345.0,110759,64572.0,85071,59959.0,59959,59648.0,65049,93533.0,98202,114219.0,114748,91644.0,115975,47500.0,55858,68000,JNTUH
NRCM,"NARSIMHAREDDY ENGINEERING
COLLEGE (AUTONOMOUS)",MAISAMMAGUDA,MDL,COED,PVT,2007,CSM,"COMPUTER SCIENCE AND
ENGINEERING (ARTIFICIAL
INTELLIGENCE AND MACHINE
LEARNING)",49343.0,49343,101433.0,108130,108846.0,108846,49343.0,49343,72908.0,98025,109657.0,111042,120791.0,120791,117813.0,117813,68181.0,68181,68000,JNTUH
NRCM,"NARSIMHAREDDY ENGINEERING
COLLEGE (AUTONOMOUS)",MAISAMMAGUDA,MDL,COED,PVT,2007,ECE,"ELECTRONICS AND
COMMUNICATION ENGINEERING",88399.0,88399,111502.0,111502,113722.0,113722,88399.0,88399,106906.0,106906,109123.0,109123,113089.0,118949,118240.0,118240,96636.0,96636,68000,JNTUH
NRCM,"NARSIMHAREDDY ENGINEERING
COLLEGE (AUTONOMOUS)",MAISAMMAGUDA,MDL,COED,PVT,2007,EEE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",119603.0,119603,119603.0,119603,119603.0,119603,119603.0,119603,119603.0,119603,119603.0,119603,119603.0,119603,119603.0,119603,119603.0,119603,68000,JNTUH
NRCM,"NARSIMHAREDDY ENGINEERING
COLLEGE (AUTONOMOUS)",MAISAMMAGUDA,MDL,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,98282.0,98282,98282.0,98282,98282.0,98282,98282.0,98282,98282.0,98282,98282.0,98282,98282.0,98282,98282.0,98282,98282.0,98282,68000,JNTUH
NREC,"NALLAMALLA REDDY
ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2001,AID,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",70623.0,70623,96143.0,101707,92069.0,101449,70623.0,70623,95862.0,111254,102912.0,102912,121017.0,121017,117259.0,117259,70623.0,70623,86000,JNTUH
NREC,"NALLAMALLA REDDY
ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2001,CIV,CIVIL ENGINEERING,92162.0,92162,92162.0,92162,92162.0,92162,92162.0,92162,92162.0,92162,92162.0,92162,92162.0,92162,92162.0,92162,92162.0,92162,86000,JNTUH
NREC,"NALLAMALLA REDDY
ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2001,CSE,"COMPUTER SCIENCE AND
ENGINEERING",34072.0,34072,72739.0,83910,57847.0,68578,34072.0,64257,50067.0,57395,52728.0,97387,96215.0,116451,81215.0,117878,36700.0,49088,86000,JNTUH
NREC,"NALLAMALLA REDDY
ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2001,CSM,"COMPUTER SCIENCE AND
ENGINEERING (ARTIFICIAL
INTELLIGENCE AND MACHINE
LEARNING)",63579.0,63579,87515.0,95341,81433.0,84370,72370.0,72370,67478.0,89792,107013.0,107013,120973.0,120973,118087.0,118151,63579.0,63579,86000,JNTUH
NREC,"NALLAMALLA REDDY
ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2001,ECE,"ELECTRONICS AND
COMMUNICATION ENGINEERING",49363.0,52306,104121.0,104121,114997.0,114997,49363.0,52306,110025.0,114454,92017.0,92017,121324.0,121340,118654.0,119251,82357.0,83525,86000,JNTUH
